date,Market_Regime,AI_Cycle,Valuation,Macro,Liquidity,Positioning,Buy_Score,Risk_Score,Margin_Score,Coverage_Ratio,HY_OAS_Percentile,Breadth_Score,VIX,VIX3M,VIX_Backwardation,Net_Fed_Liquidity,NFL_13W_Change,Target_Margin_Pct,Target_Cash_Min_Pct,Target_Cash_Max_Pct,Covered_Call_Status,historical_data_is_revised
2012-01-03,,,,,,96.70136813681682,96.70136813681682,23.298631863183175,35.0,0.0425,,,22.969999313354492,26.05,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-04,,,,,,97.03494610699128,97.03494610699128,22.965053893008715,35.0,0.0425,,,22.219999313354492,25.31,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-05,,,,,,97.64476810446978,97.64476810446979,22.35523189553021,35.0,0.0425,,,21.479999542236328,24.7,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-06,,,,,,98.37560895609646,98.37560895609646,21.624391043903543,35.0,0.0425,,,20.6299991607666,24.09,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-09,,,,,,97.37346512664462,97.37346512664462,22.626534873355382,35.0,0.0425,,,21.06999969482422,24.12,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-10,,,,,,97.35996994457463,97.35996994457463,22.64003005542537,35.0,0.0425,,,20.690000534057617,23.68,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-11,,,,,,97.40739203144605,97.40739203144607,22.592607968553935,35.0,0.0425,,,21.049999237060547,24.11,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-12,,,,,,98.5837993703147,98.5837993703147,21.416200629685306,35.0,0.0425,,,20.469999313354492,24.04,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-13,,,,,,98.7315690369977,98.7315690369977,21.268430963002302,35.0,0.0425,,,20.90999984741211,24.67,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-17,,,,,,96.0834244390924,96.0834244390924,23.916575560907603,35.0,0.0425,,,22.200000762939453,25.0,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-18,,,,,,97.99153640063597,97.99153640063597,22.008463599364035,35.0,0.0425,,,20.889999389648438,24.18,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-19,,,,,,98.97136224653754,98.97136224653754,21.028637753462462,35.0,0.0425,,,19.8700008392334,23.65,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-20,,,,,,99.66123858311394,99.66123858311394,20.338761416886058,35.0,0.0425,,,18.280000686645508,22.82,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-23,,,,,,99.07358783795743,99.07358783795743,20.926412162042567,35.0,0.0425,,,18.670000076293945,22.32,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-24,,,,,,98.28157836253443,98.28157836253443,21.718421637465568,35.0,0.0425,,,18.90999984741211,22.03,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-25,,,,,,98.3369106028698,98.3369106028698,21.663089397130193,35.0,0.0425,,,18.309999465942383,21.36,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-26,,,,,,98.36746662923628,98.36746662923628,21.632533370763724,35.0,0.0425,,,18.56999969482422,21.68,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-27,,,,,,97.87885558319424,97.87885558319424,22.121144416805762,35.0,0.0425,,,18.530000686645508,21.4,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-30,,,,,,96.38992115179876,96.38992115179876,23.61007884820124,35.0,0.0425,,,19.399999618530273,21.92,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-01-31,,,,,,96.85541084634083,96.85541084634083,23.14458915365917,35.0,0.0425,,,19.440000534057617,22.09,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-02-01,,,,,,98.1404119687468,98.1404119687468,21.859588031253196,35.0,0.0425,,,18.549999237060547,21.54,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-02-02,,,,,,98.40228173563307,98.40228173563307,21.597718264366932,35.0,0.0425,,,17.979999542236328,21.01,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-02-03,,,,,,98.52808263556545,98.52808263556547,21.471917364434532,35.0,0.0425,,,17.100000381469727,20.05,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-02-06,,,,,,97.55239489382394,97.55239489382394,22.447605106176056,35.0,0.0425,,,17.760000228881836,20.39,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-02-07,,,,,,97.15961762577234,97.15961762577234,22.84038237422766,35.0,0.0425,,,17.649999618530273,20.14,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-02-08,,,,,,97.01603977073363,97.01603977073363,22.983960229266373,35.0,0.0425,,,18.15999984741211,20.68,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-02-09,,,,,,97.41267435447519,97.41267435447519,22.587325645524814,35.0,0.0425,,,18.6299991607666,21.34,0.0,,,0.0,30,40,STOP_NEW_CC,True
2012-02-10,,,,,,95.50392919992777,95.50392919992777,24.496070800072232,35.0,0.0425,,,20.790000915527344,23.28,0.0,,,0.0,30,40,STOP_NEW_CC,True
