date,strategy,price,underlying_return,signal_target_margin_pct,effective_target_margin_pct,reference_equity,loan_change,loan_balance,asset_value,equity,strategy_return,actual_margin_pct,transaction_cost,interest_cost,maintenance_ratio,trade_direction
2017-07-03,fixed_5pct,128.3936309814453,0.0,5.0,0.0,1000000.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,inf,0
2017-07-05,fixed_5pct,129.65689086914062,0.009838960687059917,5.0,5.0,1000000.0,50000.0,50000.0,1060287.6278498522,1010287.6278498522,0.010287627849852266,4.949085648649648,35.0,7.936507936507937,2120.5752556997045,1
2017-07-06,fixed_5pct,128.4878692626953,-0.009016270547665517,5.0,5.0,1000000.0,0.0,50000.0,1050719.8512308788,1000719.8512308788,-0.009470349190889293,4.996403332910837,0.0,7.936507936507937,2101.439702461758,0
2017-07-07,fixed_5pct,129.87374877929688,0.010786072837491778,5.0,5.0,1000000.0,0.0,50000.0,1062045.055570117,1012045.055570117,0.011317057741293102,4.9404915052752685,0.0,7.936507936507937,2124.090111140234,0
2017-07-10,fixed_5pct,130.72227478027344,0.006533468148505639,5.0,5.0,1000000.0,0.0,50000.0,1068975.9566050256,1018975.9566050256,0.006848411537373922,4.906887122890275,0.0,7.936507936507937,2137.951913210051,0
2017-07-11,fixed_5pct,131.0899200439453,0.002812414825934084,5.0,5.0,1000000.0,0.0,50000.0,1071974.4239260121,1021974.4239260121,0.002942628137151182,4.892490343145794,0.0,7.936507936507937,2143.9488478520243,0
2017-07-12,fixed_5pct,132.6454315185547,0.011865988430597163,5.0,5.0,1000000.0,0.0,50000.0,1084686.5235302777,1034686.5235302777,0.012438764910995381,4.832381485882653,0.0,7.936507936507937,2169.373047060555,0
2017-07-13,fixed_5pct,132.93771362304688,0.002203484139227996,5.0,5.0,1000000.0,0.0,50000.0,1087068.6765729743,1037068.6765729743,0.0023022944520132427,4.821281476288201,0.0,7.936507936507937,2174.1373531459485,0
2017-07-14,fixed_5pct,133.98411560058594,0.007871370350976514,5.0,5.0,1000000.0,0.0,50000.0,1095617.4602152896,1045617.4602152896,0.008243218443898082,4.781863530636256,0.0,7.936507936507937,2191.234920430579,0
2017-07-17,fixed_5pct,134.05020141601562,0.0004932361954508302,5.0,5.0,1000000.0,0.0,50000.0,1096149.921895099,1046149.9218950991,0.0005092318176285193,4.779429692966479,0.0,7.936507936507937,2192.2998437901983,0
2017-07-18,fixed_5pct,134.94578552246094,0.006680960543027581,5.0,5.0,1000000.0,0.0,50000.0,1103465.3197645864,1053465.3197645864,0.006992685958658207,4.746240722112551,0.0,7.936507936507937,2206.930639529173,0
2017-07-19,fixed_5pct,135.73765563964844,0.005868061118927681,5.0,5.0,1000000.0,0.0,50000.0,1109932.5851956455,1059932.5851956455,0.00613903970992058,4.717281145835408,0.0,7.936507936507937,2219.8651703912906,0
2017-07-20,fixed_5pct,135.91680908203125,0.0013198507189369213,5.0,5.0,1000000.0,0.0,50000.0,1111389.5940082509,1061389.5940082509,0.0013746240402039422,4.710805559264916,0.0,7.936507936507937,2222.779188016502,0
2017-07-21,fixed_5pct,135.8602294921875,-0.00041628103415525253,5.0,5.0,1000000.0,0.0,50000.0,1110919.007090771,1060919.007090771,-0.00044336869339622886,4.712895109411689,0.0,7.936507936507937,2221.838014181542,0
