date,strategy,price,underlying_return,signal_target_margin_pct,effective_target_margin_pct,reference_equity,loan_change,loan_balance,asset_value,equity,strategy_return,actual_margin_pct,transaction_cost,interest_cost,maintenance_ratio,trade_direction
2017-07-03,return_alpha_raw,128.39364624023438,0.0,0.0,0.0,1000000.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,inf,0
2017-07-05,return_alpha_raw,129.6569366455078,0.009839197205364192,0.0,0.0,1000000.0,0.0,0.0,1009839.1972053642,1009839.1972053642,0.009839197205364192,0.0,0.0,0.0,inf,0
2017-07-06,return_alpha_raw,128.4879150390625,-0.009016267364402641,0.0,0.0,1000000.0,0.0,0.0,1000734.217008307,1000734.217008307,-0.009016267364402641,0.0,0.0,0.0,inf,0
2017-07-07,return_alpha_raw,129.873779296875,0.01078595023813067,0.0,0.0,1000000.0,0.0,0.0,1011528.0864745532,1011528.0864745532,0.01078595023813067,0.0,0.0,0.0,inf,0
2017-07-10,return_alpha_raw,130.7222442626953,0.0065329966557825525,0.0,0.0,1000000.0,0.0,0.0,1018136.3960807216,1018136.3960807216,0.0065329966557825525,0.0,0.0,0.0,inf,0
2017-07-11,return_alpha_raw,131.0899658203125,0.0028129991164949075,0.0,0.0,1000000.0,0.0,0.0,1021000.412863368,1021000.412863368,0.0028129991164949075,0.0,0.0,0.0,inf,0
2017-07-12,return_alpha_raw,132.64544677734375,0.011865751488282283,0.0,0.0,1000000.0,0.0,0.0,1033115.3500318384,1033115.3500318384,0.011865751488282283,0.0,0.0,0.0,inf,0
2017-07-13,return_alpha_raw,132.93771362304688,0.0022033688513538596,0.0,0.0,1000000.0,0.0,0.0,1035391.6842139541,1035391.6842139541,0.0022033688513538596,0.0,0.0,0.0,inf,0
2017-07-14,return_alpha_raw,133.98411560058594,0.007871370350976514,0.0,0.0,1000000.0,0.0,0.0,1043541.6356187235,1043541.6356187235,0.007871370350976514,0.0,0.0,0.0,inf,0
2017-07-17,return_alpha_raw,134.05014038085938,0.0004927806552104119,0.0,0.0,1000000.0,0.0,0.0,1044055.872749663,1044055.872749663,0.0004927806552104119,0.0,0.0,0.0,inf,0
2017-07-18,return_alpha_raw,134.94580078125,0.006681532729812201,0.0,0.0,1000000.0,0.0,0.0,1051031.7662351925,1051031.7662351925,0.006681532729812201,0.0,0.0,0.0,inf,0
2017-07-19,return_alpha_raw,135.7376708984375,0.005868060455405555,0.0,0.0,1000000.0,0.0,0.0,1057199.2841800123,1057199.2841800123,0.005868060455405555,0.0,0.0,0.0,inf,0
2017-07-20,return_alpha_raw,135.91680908203125,0.0013197381567551236,0.0,0.0,1000000.0,0.0,0.0,1058594.5104146388,1058594.5104146388,0.0013197381567551236,0.0,0.0,0.0,inf,0
2017-07-21,return_alpha_raw,135.8602294921875,-0.00041628103415525253,0.0,0.0,1000000.0,0.0,0.0,1058153.8375970924,1058153.8375970924,-0.0004162810341551415,0.0,0.0,0.0,inf,0
2017-07-24,return_alpha_raw,136.482421875,0.004579650609586761,0.0,0.0,1000000.0,0.0,0.0,1062999.8124644805,1062999.8124644805,0.004579650609586761,0.0,0.0,0.0,inf,0
2017-07-25,return_alpha_raw,136.13363647460938,-0.0025555334936103735,4.0,0.0,1000000.0,0.0,0.0,1060283.280840026,1060283.280840026,-0.0025555334936103735,0.0,0.0,0.0,inf,0
2017-07-26,return_alpha_raw,136.57667541503906,0.0032544413849719955,4.0,4.0,1000000.0,40000.0,40000.0,1103829.6479536765,1063829.6479536765,0.0033447354850686395,3.76000049227259,28.0,6.349206349206349,2759.5741198841915,1
2017-07-27,return_alpha_raw,135.7188262939453,-0.006281080707865039,4.0,4.0,1000000.0,0.0,40000.0,1096890.0556407962,1056890.0556407962,-0.006523217628150224,3.7846888412388227,0.0,6.349206349206349,2742.2251391019904,0
2017-07-28,return_alpha_raw,135.605712890625,-0.000833439298062677,4.0,4.0,1000000.0,0.0,40000.0,1095969.5151564218,1055969.5151564218,-0.0008709898247800663,3.787988140365469,0.0,6.349206349206349,2739.9237878910544,0
2017-07-31,return_alpha_raw,135.03057861328125,-0.0042412245405002436,4.0,4.0,1000000.0,0.0,40000.0,1091314.9131467512,1051314.9131467512,-0.004407894302688398,3.80475911639774,0.0,6.349206349206349,2728.2872828668783,0
2017-08-01,return_alpha_raw,135.3417510986328,0.0023044593939181013,4.0,4.0,1051314.9131467512,2052.5965258700526,42052.59652587005,1095879.015557314,1053826.419031444,0.002388918727667777,3.9904670984164508,1.4368175681090367,6.675015321566675,2605.9722968191695,1
2017-08-02,return_alpha_raw,135.70941162109375,0.0027165343988566626,4.0,4.0,1051314.9131467512,0.0,42052.59652587005,1098849.3335847391,1056796.737058869,0.0028186027355008303,3.979251170182928,0.0,6.675015321566675,2613.0356371900734,0
2017-08-03,return_alpha_raw,135.1814727783203,-0.0038902153982324217,4.0,4.0,1051314.9131467512,0.0,42052.59652587005,1094567.8979715689,1052515.3014456988,-0.004051333111687816,3.9954380205312026,0.0,6.675015321566675,2602.8544927022735,0
2017-08-04,return_alpha_raw,135.4265899658203,0.0018132454282544508,4.0,4.0,1051314.9131467512,0.0,42052.59652587005,1096545.9431931584,1054493.3466672883,0.0018793505603884597,3.9879432770985894,0.0,6.675015321566675,2607.5582336957045,0
2017-08-07,return_alpha_raw,136.28448486328125,0.006334759648584987,4.0,4.0,1051314.9131467512,0.0,42052.59652587005,1103485.6231715966,1061433.0266457265,0.006581056201417468,3.961869988044559,0.0,6.675015321566675,2624.060615359983,0
2017-08-08,return_alpha_raw,136.04881286621094,-0.001729265053954876,3.0,4.0,1051314.9131467512,0.0,42052.59652587005,1101570.7290305828,1059518.1325047128,-0.0018040649696619004,3.969030376710707,0.0,6.675015321566675,2619.507046022509,0
