date,strategy,price,underlying_return,signal_target_margin_pct,effective_target_margin_pct,reference_equity,loan_change,loan_balance,asset_value,equity,strategy_return,actual_margin_pct,transaction_cost,interest_cost,maintenance_ratio,trade_direction
2017-08-07,current_raw_target,136.28443908691406,0.006334535018246212,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1113931.0227942301,1061369.448642971,0.006642407284100482,4.952241108735737,0.0,8.343107008136357,2119.287789191046,0
2017-08-08,current_raw_target,136.0487823486328,-0.001729153671982786,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1111996.5217688219,1059434.9476175627,-0.0018226462311324854,4.961283773907829,0.0,8.343107008136357,2115.607341912505,0
2017-08-09,current_raw_target,135.86968994140625,-0.0013163837568764825,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1110524.3645028542,1057962.790351595,-0.0013895683442181062,4.968187409860714,0.0,8.343107008136357,2112.80651775581,0
2017-08-10,current_raw_target,132.95654296875,-0.021440742036818783,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1086705.5549709382,1034143.9808196792,-0.022513844295034335,5.082616649723948,0.0,8.343107008136357,2067.490505219025,0
2017-08-11,current_raw_target,133.96533203125,0.007587359297820395,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1094942.437360432,1042380.863209173,0.007964928039290164,5.04245386752765,0.0,8.343107008136357,2083.1614255110812,0
2017-08-14,current_raw_target,135.69056701660156,0.012878219754265396,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1109035.0035800224,1056473.4294287632,0.013519594149304925,4.975191300332008,0.0,8.343107008136357,2109.9729631165483,0
2017-08-15,current_raw_target,135.7848358154297,0.0006947336200355814,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1109797.1443757976,1057235.5702245384,0.0007214008176119613,4.971604780578455,0.0,8.343107008136357,2111.422959255519,0
2017-08-16,current_raw_target,136.0205078125,0.0017356282507912102,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1111714.9965452156,1059153.4223939565,0.0018140253917211524,4.962602493645964,0.0,8.343107008136357,2115.071731577099,0
2017-08-17,current_raw_target,133.2393798828125,-0.020446386904548253,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1088976.0984912554,1036414.5243399964,-0.021468936957749096,5.0714818170587685,0.0,8.343107008136357,2071.8102836065277,0
2017-08-18,current_raw_target,133.1450958251953,-0.0007076290635704696,5.0,5.0,1051231.4830251809,0.0,52561.57415125905,1088197.1642474213,1035635.5900961623,-0.000751566313999863,5.07529623874538,0.0,8.343107008136357,2070.328337419771,0
