date,model_version,expert,expected_timing_alpha_60d_pct,regime_baseline_60d_pct,expected_net_return_60d_pct,raw_probability,probability_positive,forecast_percentile,alpha_demand_margin_pct,risk_cap_margin_pct,alpha_raw_target_margin_pct,alpha_reasons,risk_reasons,model_train_end,calibration_method,calibration_samples,calibration_brier,calibration_ece
2012-02-23,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-02-24,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-02-27,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-02-28,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-02-29,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-01,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-02,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-05,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-06,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-07,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-08,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-09,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-12,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-13,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-14,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-15,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-16,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-19,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-20,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-21,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-22,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-23,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-26,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-27,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-28,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-29,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-03-30,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-02,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-03,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-04,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-05,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-09,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-10,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-11,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-12,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-13,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-16,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-17,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-18,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-19,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-20,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-23,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-24,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-25,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-26,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-27,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-04-30,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-01,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-02,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-03,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-04,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-07,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-08,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-09,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-10,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-11,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-14,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-15,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-16,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-17,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-18,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-21,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-22,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-23,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-24,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-25,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-29,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-30,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-05-31,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-06-01,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-06-04,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-06-05,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-06-06,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-06-07,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
2012-06-08,v2_relative_alpha_calibrated_experts_sensitivity,,,,,,,,0.0,0.0,0.0,['Forecast_Unavailable'],['Hard_Risk_Cap_Zero'],,,,,
